poutcome_n,duration,emp.var.rate,euribor3m,nr.employed,y_n
0.0,0.11145510835913312,1.0,0.9805032872364543,1.0,0.0
0.0,0.054060490592998334,0.0,0.02448424393561552,0.20378071833648193,0.0
0.0,0.008573469873779471,0.6666666666666667,0.7213783722511902,0.8041587901701313,0.0
0.0,0.08192426768278162,0.9375,0.9580593969621403,0.8597353497164448,0.0
0.0,0.04000952607763753,0.33333333333333337,0.16096123328043532,0.512287334593573,0.0
0.0,0.027387473207906642,0.33333333333333337,0.1632282929041034,0.512287334593573,0.0
0.0,0.04786854012860205,0.9375,0.9573792790750397,0.8597353497164448,0.0
0.0,0.022148130507263632,0.9375,0.9573792790750397,0.8597353497164448,0.0
0.0,0.10907358894974993,1.0,0.9811834051235548,1.0,0.0
0.0,0.02834008097165992,0.10416666666666674,0.1419179324416232,0.4257088846880883,0.0
0.0,0.018337699452250535,1.0,0.9811834051235548,1.0,0.0
0.0,0.05548940223862824,1.0,0.9589662208116074,1.0,0.0
0.0,0.028816384853536554,0.9375,0.9578326909997734,0.8597353497164448,0.0
0.0,0.05072636341986187,1.0,0.9818635230106552,1.0,0.0
0.0,0.07716122886401523,1.0,0.9814101110859217,1.0,0.0
0.5,0.03524648725887116,0.33333333333333337,0.00453411924733621,0.17051039697542336,1.0
0.0,0.04501071683734222,1.0,0.9818635230106552,1.0,0.0
0.0,0.03167420814479638,1.0,0.9811834051235548,1.0,0.0
0.0,0.025720409621338414,0.33333333333333337,0.17479029698481074,0.512287334593573,0.0
0.0,0.042867349368897356,0.9375,0.9571525731126729,0.8597353497164448,0.0
0.5,0.0319123600857347,0.33333333333333337,0.1466787576513262,0.512287334593573,0.0
0.0,0.010716837342224339,1.0,0.9816368170482885,1.0,0.0
0.0,0.02119552274351036,1.0,0.9816368170482885,1.0,0.0
0.0,0.010954989283162657,1.0,0.9809566991611882,1.0,0.0
0.0,0.021909978566325313,1.0,0.9814101110859217,1.0,0.0
0.0,0.14432007620862108,1.0,0.9818635230106552,1.0,1.0
0.0,0.14217670874017624,0.9375,0.9573792790750397,0.8597353497164448,0.0
0.0,0.019290307216003808,0.33333333333333337,0.15393334844706413,0.512287334593573,0.0
0.0,0.004524886877828054,0.33333333333333337,0.1466787576513262,0.512287334593573,0.0
0.0,0.023338890211955225,0.10416666666666674,0.1466787576513262,0.4257088846880883,0.0
0.0,0.030245296499166466,0.6875,0.7678530945363864,0.8778827977315693,0.0
0.0,0.04239104548702072,1.0,0.9820902289730222,1.0,0.0
0.0,0.049773755656108594,1.0,0.9807299931988211,1.0,0.0
0.0,0.023815194093831864,1.0,0.9818635230106552,1.0,0.0
0.0,0.004524886877828054,1.0,0.9807299931988211,1.0,0.0
0.5,0.021909978566325313,0.10416666666666674,0.1419179324416232,0.4257088846880883,0.0
0.0,0.2669683257918552,0.6875,0.8063931081387441,0.8778827977315693,0.0
0.5,0.09597523219814241,0.33333333333333337,0.1586941736567672,0.512287334593573,0.0
